SectionName,BuildingName,CampusLocation
PHIL-102-05,PLAS,MC
PHIL-102-06,PLAS,MC
PHIL-102-07,PLAS,MC
PHIL-102-08,PLAS,MC
PHIL-102-09,WALS,MC
PHIL-104-01,PLAS,MC
PHIL-104-02,PLAS,MC
PHIL-104-03,PLAS,MC
PHIL-104-04,PLAS,MC
PHIL-104-05,PLAS,MC
PHIL-104-06,PLAS,MC
PHIL-104-07,PLAS,MC
PHIL-104-08,PLAS,MC
PHIL-104-09,PLAS,MC
PHIL-301-01,PLAS,MC
PHIL-305-01,PLAS,MC
PHIL-312-01,PLAS,MC
PHIL-326-01,PLAS,MC
PHIL-328-01,,MC
PHIL-338-01,PLAS,MC
PHIL-338-02,PLAS,MC
PHIL-361-01,PLAS,MC
PHSC-106-01,DELA,MC
PHSC-113L-01,DELA,MC
PHSC-113L-02,DELA,MC
PHSC-113L-03,DELA,MC
PHSC-115-01,DELA,MC
PHYL-104-01,DELA,MC
PHYL-104-02,DELA,MC
PHYL-104-03,DELA,MC
PHYS-104-01,DELA,MC
PHYS-104-02,DELA,MC
PHYS-203-01,DELA,MC
PHYS-302-01,DELA,MC
PHYS-304-55,,MC
POLS-102-O01,,OLEAN
POLS-103-01,PLAS,MC
POLS-103-02,,OL
POLS-203-01,MUPB,MC
POLS-307-01,PLAS,MC
POLS-330-01,PLAS,MC
POLS-356-01,PLAS,MC
POLS-365-01,PLAS,MC
POLS-421-01,PLAS,MC
POLS-492-01,,MC
PSYC-101-01,DELA,MC
PSYC-101-02,DELA,MC
PSYC-101-03,DELA,MC
PSYC-101-04,DELA,MC
PSYC-102-01,DELA,MC
PSYC-102-02,DELA,MC
PSYC-202-01,WALS,MC
PSYC-202-55,,MC
PSYC-213-01,DELA,MC
PSYC-213-02,DELA,MC
PSYC-230-01,DELA,MC
PSYC-230-02,DELA,MC
PSYC-311-01,DELA,MC
PSYC-420M-01,DELA,MC
PSYC-433-01,DELA,MC
PSYC-433-02,DELA,MC
PSYC-469-01,DELA,MC
PSYC-478-01,,MC
PSYC-478-02,,MC
PSYC-481-55,,MC
PSYC-483-55,,MC
QMX-210-01,SWAN,MC
QMX-210-02,SWAN,MC
QMX-211-01,SWAN,MC
QMX-211-02,SWAN,MC
QMX-212-01,PLAS,MC
QMX-212-02,SWAN,MC
QMX-212-03,SWAN,MC
QMX-212-04,SWAN,MC
READ-525-F1L01,,OL
READ-540-72L01,,OL
READ-580-F1L01,,OL
READ-595-F1L01,,OL
READ-599-F1F01,,MC
SA-100-01,,
SAM-603-F1F01,SWAN,MC
SAM-611-F1L01,,OL
SAM-617-F1F01,SWAN,MC
SAM-650-F1F01,SWAN,MC
SAM-653-F1F01,SWAN,MC
SBU-103-01,,MC
SC-210-01,MUPB,MC
SC-220-01,MUPB,MC
SC-301-01,,OL
SC-301-02,MUPB,MC
SC-301-03,MUPB,MC
SC-301-04,MUPB,MC
SC-301-05,MUPB,MC
SC-301-06,PLAS,MC
SC-301-07,MUPB,MC
SC-301-08,MUPB,MC
SC-303-01,,OL
SC-320-55,,MC
SC-401B-01,MUPB,MC
SC-430-01,MUPB,MC
SC-499-01,,MC
SOC-101-01,PLAS,MC
SOC-101-02,PLAS,MC
SOC-102-01,PLAS,MC
SOC-102-02,DELA,MC
SOC-103-01,PLAS,MC
SOC-205-01,PLAS,MC
SOC-206-01,PLAS,MC
SOC-207-01,DELA,MC
SOC-208-01,PLAS,MC
SOC-301-55,,MC
SOC-308-01,PLAS,MC
SOC-320-01,PLAS,MC
SOC-320-02,PLAS,MC
SOC-321-01,,OL
SOC-412-01,LIBR,MC
SPAN-102-01,MUPB,MC
SPAN-102-02,PLAS,MC
SPAN-102-03,PLAS,MC
SPAN-102-04,DELA,MC
SPAN-202-01,PLAS,MC
SPAN-202-02,PLAS,MC
SPAN-202-03,PLAS,MC
SPAN-202-04,MUPB,MC
SPAN-202-05,PLAS,MC
SPAN-202-06,PLAS,MC
SPAN-302M-01,FRHA,MC
SPAN-303-01,PLAS,MC
SPAN-325-55,,MC
SPAN-327-01,PLAS,MC
SPAN-335M-55,,MC
SPAN-450-01,,MC
SPED-230-01,PLAS,MC
SPED-230-02,PLAS,MC
SPED-340-01,PLAS,MC
SPED-350-01,MUPB,MC
SPED-350L-01,PLAS,MC
SPED-430-01,PLAS,MC
SPED-440-01,PLAS,MC
SPED-455-01,PLAS,MC
SPED-503-F1L01,,OL
SPED-504-71L01,,OL
SPED-510-F1L01,,OL
SPED-590-F1L01,,OL
THFS-101-01,MUPB,MC
THFS-101-02,DELA,MC
THFS-101-03,DELA,MC
THFS-101-04,PLAS,MC
THFS-101-05,PLAS,MC
THFS-101-06,SWAN,MC
THFS-101-07,MUPB,MC
THFS-101-08,DELA,MC
THFS-104-01,MUPB,MC
THFS-225-01,DELA,MC
THFS-225-02,DELA,MC
THFS-235-01,MUPB,MC
THFS-235-02,MUPB,MC
THFS-235-03,MUPB,MC
THFS-235-04,MUPB,MC
THFS-252-01,MUPB,MC
THFS-252-02,MUPB,MC
THFS-271-01,MUPB,MC
THFS-271-02,MUPB,MC
THFS-307-01,MUPB,MC
THFS-345-01,MUPB,MC
THFS-498-55,,MC
THTR-101-01,RQAC,MC
THTR-212-01,RQAC,MC
THTR-230-01,BUTL,MC
THTR-299-01,,MC
THTR-401-01,DEVE,MC
VA-110-01,RQAC,MC
VA-121-01,RQAC,MC
VA-141-01,RQAC,MC
VA-231-55,,MC
VA-351-01,RQAC,MC
VA-399Q-01,RQAC,MC
VA-411-01,,MC
WS-101-01,PLAS,MC
WS-313-01,RECE,MC
WS-366-01,PLAS,MC
WS-482-01,MUPB,MC
